id,date,title,subject,time,question,opt1,opt2,opt3,opt4,answer_index,explanation
t1,08 Jan,Modern History Set-1,History,20,Who founded the Indian National Congress?,W.C. Banerjee,A.O. Hume,Dadabhai Naoroji,Mahatma Gandhi,1,✅ A.O. Hume founded INC in 1885.
t1,08 Jan,Modern History Set-1,History,20,When did the Jallianwala Bagh massacre take place?,1917,1918,1919,1920,2,✅ It occurred on 13 April 1919 in Amritsar.
t1,08 Jan,Modern History Set-1,History,20,Who was the first Governor-General of Bengal?,Lord Clive,Warren Hastings,Lord Cornwallis,Lord Dalhousie,1,✅ Warren Hastings was the first Governor-General.
t1,08 Jan,Modern History Set-1,History,20,The 'Quit India Movement' was launched in which year?,1930,1935,1942,1947,2,✅ Launched in 1942 with 'Do or Die' slogan.
t1,08 Jan,Modern History Set-1,History,20,Who is known as the 'Iron Man of India'?,J.L. Nehru,Subhash Chandra Bose,Sardar Patel,Lal Bahadur Shastri,2,✅ Sardar Vallabhbhai Patel is the Iron Man of India.
t1,08 Jan,Modern History Set-1,History,20,Who said 'Swaraj is my birthright and I shall have it'?,B.G. Tilak,Lala Lajpat Rai,Bipin Chandra Pal,G.K. Gokhale,0,✅ Bal Gangadhar Tilak gave this slogan.
t1,08 Jan,Modern History Set-1,History,20,Who was the founder of 'Brahmo Samaj'?,Swami Vivekananda,Dayanand Saraswati,Raja Ram Mohan Roy,Ishwar Chandra Vidyasagar,2,✅ Founded by Raja Ram Mohan Roy in 1828.
t1,08 Jan,Modern History Set-1,History,20,The partition of Bengal (1905) was done by?,Lord Curzon,Lord Minto,Lord Ripon,Lord Canning,0,✅ Partitioned by Lord Curzon.
t1,08 Jan,Modern History Set-1,History,20,Who wrote the book 'Discovery of India'?,M.K. Gandhi,Jawaharlal Nehru,S.C. Bose,Sardar Patel,1,✅ Written by J.L. Nehru in Ahmednagar Fort.
t1,08 Jan,Modern History Set-1,History,20,Where did Gandhi Ji start his first Satyagraha in India?,Ahmedabad,Kheda,Champaran,Dandi,2,✅ Start in Champaran (1917).
id,date,title,subject,time,question,opt1,opt2,opt3,opt4,answer_index,explanation
t3,09 Jan,Indus Valley Civil. Set-1,History,20,The Indus Valley Civilization was discovered in which year?,1901,1921,1947,1911,1,✅ Discovered in 1921 by Dayaram Sahni (Harappa).
t3,09 Jan,Indus Valley Civil. Set-1,History,20,Which site of IVC is known as the 'Mound of the Dead'?,Harappa,Lothal,Mohenjodaro,Kalibangan,2,✅ Mohenjodaro literally means 'Mound of the Dead' in Sindhi.
